#{"t_start": 1761659488.3956401, "env_id": "None"}
r,l,t
126.189499,168,134.858261
126.581208,168,135.586608
126.584454,168,135.655414
125.14315,168,135.726142
125.67529,168,135.796587
125.324479,168,135.866593
124.501018,168,135.937821
126.474659,168,136.012516
123.173187,168,136.085713
126.872684,168,136.153977
126.042234,168,136.226075
127.966796,168,136.302295
126.679559,168,136.376195
126.690922,168,137.065954
126.976647,168,137.135696
126.057747,168,137.207607
125.649262,168,137.284554
125.291159,168,137.355603
124.379514,168,137.426578
125.915299,168,137.499323
126.781316,168,137.575763
126.085892,168,137.649384
126.256208,168,137.725405
124.868742,168,137.802733
126.761592,168,138.198929
125.461588,168,138.906579
124.548411,168,138.977776
125.978496,168,139.055536
124.604455,168,139.127325
126.304872,168,139.197068
125.398815,168,139.271007
126.545786,168,139.347781
126.577585,168,139.421161
128.24018,168,139.493016
125.197128,168,139.569214
127.012667,168,139.640121
124.11556,168,139.707393
126.002606,168,140.427732
126.526702,168,140.500253
125.622643,168,140.578061
126.719963,168,140.64723
125.278283,168,140.716419
126.746887,168,140.786566
127.478573,168,140.867952
126.73019,168,140.941586
124.715668,168,141.012787
124.131162,168,141.087082
126.814371,168,141.160565
125.808349,168,141.229431
126.700914,168,141.300244
122.963684,168,141.99754
125.162071,168,142.069304
125.387027,168,142.143549
125.346452,168,142.217905
126.433237,168,142.289423
126.396776,168,142.367054
125.630633,168,142.435347
122.916841,168,142.548573
126.942414,168,142.645325
122.731469,168,142.716676
125.504384,168,142.788213
126.252861,168,142.858861
126.535868,168,143.532589
126.459155,168,143.610357
125.910677,168,143.67996
126.117436,168,143.752956
126.657458,168,143.824936
127.118478,168,143.902533
125.917883,168,143.971222
126.5829,168,144.047742
124.501386,168,144.129428
127.297677,168,144.197545
124.5914,168,144.271304
126.767275,168,144.341049
123.905781,168,145.026725
125.402552,168,145.092413
126.322432,168,145.163927
123.396272,168,145.231223
126.20556,168,145.301011
126.00718,168,145.376734
124.413942,168,145.45179
125.746316,168,145.523442
124.616537,168,145.594391
124.788424,168,145.986584
125.464383,168,146.057598
126.378279,168,146.128697
125.577793,168,146.832528
125.98936,168,146.90165
125.218728,168,146.978664
124.208087,168,147.051619
126.361896,168,147.122094
127.706515,168,147.197093
125.018884,168,147.268221
125.481656,168,147.337496
126.22636,168,147.407287
126.396248,168,147.478379
126.565606,168,147.544649
126.393229,168,147.619666
126.731935,168,148.291942
126.418173,168,148.364163
125.759783,168,148.440079
126.379416,168,148.515326
