episode,step,hour,rebalance_cost,num_rebalances,total_demand,total_served,service_rate,reward
2,66,67,22.291425466537476,2,13090.0,13090.0,1.0,1.1057085745334625
2,67,68,17.344141960144043,2,13320.0,13320.0,1.0,0.9026558580398559
2,68,69,0.0,0,13568.0,13568.0,1.0,0.992
2,69,70,6.63883113861084,1,13746.0,13746.0,1.0,0.7053611688613891
2,70,71,8.850419998168945,1,13928.0,13928.0,1.0,0.719149580001831
2,71,72,26.150694847106934,3,14085.0,14085.0,1.0,0.601849305152893
2,72,73,0.0,0,14220.0,14220.0,1.0,0.54
2,73,74,0.0,0,14350.0,14350.0,1.0,0.52
2,74,75,9.32167911529541,1,14481.0,14481.0,1.0,0.5146783208847046
2,75,76,0.0,0,14605.0,14605.0,1.0,0.496
2,76,77,8.461799621582031,1,14718.0,14718.0,1.0,0.44353820037841796
2,77,78,0.0,0,14852.0,14852.0,1.0,0.536
2,78,79,8.520593643188477,1,15012.0,15012.0,1.0,0.6314794063568115
2,79,80,0.0,0,15225.0,15225.0,1.0,0.852
2,80,81,0.0,0,15497.0,15497.0,1.0,1.088
2,81,82,0.0,0,15715.0,15715.0,1.0,0.872
2,82,83,6.500210762023926,1,15889.0,15889.0,1.0,0.6894997892379761
2,83,84,0.0,0,16099.0,16099.0,1.0,0.84
2,84,85,0.0,0,16310.0,16310.0,1.0,0.844
2,85,86,0.0,0,16515.0,16515.0,1.0,0.82
2,86,87,17.145477294921875,1,16729.0,16729.0,1.0,0.8388545227050781
2,87,88,38.46698975563049,2,16929.0,16929.0,1.0,0.7615330102443695
2,88,89,7.815074443817139,1,17177.0,17177.0,1.0,0.9841849255561829
2,89,90,0.0,0,17479.0,17479.0,1.0,1.208
2,90,91,0.0,0,17763.0,17763.0,1.0,1.136
2,91,92,41.84052896499634,4,17996.0,17996.0,1.0,0.8901594710350037
2,92,93,0.0,0,18214.0,18214.0,1.0,0.872
2,93,94,8.26525628566742,1,18401.0,18401.0,1.0,0.7397347437143326
2,94,95,15.633186101913452,2,18581.0,18581.0,1.0,0.7043668138980865
2,95,96,21.61134099960327,2,18733.0,18733.0,1.0,0.5863886590003967
2,96,97,0.0,0,18883.0,18883.0,1.0,0.6
2,97,98,0.0,0,19006.0,19006.0,1.0,0.492
2,98,99,17.955917358398438,2,19124.0,19124.0,1.0,0.45404408264160157
2,99,100,0.0,0,19287.0,19287.0,1.0,0.652
2,100,101,17.281670570373535,1,19400.0,19400.0,1.0,0.43471832942962646
2,101,102,12.595715522766113,1,19534.0,19534.0,1.0,0.5234042844772339
2,102,103,18.676515817642212,2,19685.0,19685.0,1.0,0.5853234841823578
2,103,104,17.597073316574097,2,19903.0,19903.0,1.0,0.8544029266834259
2,104,105,0.0,0,20156.0,20156.0,1.0,1.012
2,105,106,35.8093318939209,3,20382.0,20382.0,1.0,0.8681906681060791
